file_id,file_path,session_dir,file_datetime,file_period,event_id,prev_file_id,session_id,place_id,taxon_id,taxon_tsn,taxon_name
1,2015/M1/M1_01/CDY_0001.JPG,M1 2015,09.03.15 17:08,day,1,,5,1,,,
2,2015/M1/M1_01/CDY_0002.JPG,M1 2015,10.03.15 12:13,day,2,,5,1,,,
3,2015/M1/M1_01/CDY_0003.JPG,M1 2015,28.03.15 17:38,day,3,,5,1,Team,Team,[TEAM]
4,2015/M1/M1_02/03080001.JPG,M1 2015,08.03.15 16:57,day,4,,5,2,Team,Team,[TEAM]
5,2015/M1/M1_02/03080002.JPG,M1 2015,08.03.15 16:57,day,4,4,5,2,Team,Team,[TEAM]
6,2015/M1/M1_02/03080003.JPG,M1 2015,08.03.15 17:00,day,4,5,5,2,Team,Team,[TEAM]
7,2015/M1/M1_02/03080004.JPG,M1 2015,08.03.15 17:00,day,4,6,5,2,Team,Team,[TEAM]
8,2015/M1/M1_02/03090005.JPG,M1 2015,09.03.15 03:21,night,5,,5,2,2,,Panthera pardus
9,2015/M1/M1_02/03090006.JPG,M1 2015,09.03.15 03:21,night,5,8,5,2,2,,Panthera pardus
10,2015/M1/M1_02/03090007.JPG,M1 2015,09.03.15 04:41,night,6,,5,2,,,
11,2015/M1/M1_02/03090008.JPG,M1 2015,09.03.15 04:41,night,6,10,5,2,,,
12,2015/M1/M1_02/03090009.JPG,M1 2015,09.03.15 04:42,night,6,11,5,2,3,,n/a
13,2015/M1/M1_02/03090010.JPG,M1 2015,09.03.15 04:42,night,6,12,5,2,,,
14,2015/M1/M1_02/03090011.JPG,M1 2015,09.03.15 10:06,day,8,,5,2,4,,Sylvicapra grimmia
15,2015/M1/M1_02/03090012.JPG,M1 2015,09.03.15 10:06,day,8,14,5,2,4,,Sylvicapra grimmia
18,2015/M1/M1_02/03120015.JPG,M1 2015,12.03.15 19:10,twilight,11,,5,2,4,,Sylvicapra grimmia
19,2015/M1/M1_02/03120016.JPG,M1 2015,12.03.15 19:10,twilight,11,18,5,2,4,,Sylvicapra grimmia
20,2015/M1/M1_02/03120017.JPG,M1 2015,12.03.15 19:12,twilight,11,19,5,2,4,,Sylvicapra grimmia
21,2015/M1/M1_02/03120018.JPG,M1 2015,12.03.15 19:12,twilight,11,20,5,2,4,,Sylvicapra grimmia
22,2015/M1/M1_02/03140019.JPG,M1 2015,14.03.15 23:14,night,12,,5,2,4,,Sylvicapra grimmia
23,2015/M1/M1_02/03140020.JPG,M1 2015,14.03.15 23:14,night,12,22,5,2,4,,Sylvicapra grimmia
24,2015/M1/M1_02/03140021.JPG,M1 2015,14.03.15 23:16,night,12,23,5,2,4,,Sylvicapra grimmia
25,2015/M1/M1_02/03140022.JPG,M1 2015,14.03.15 23:16,night,12,24,5,2,4,,Sylvicapra grimmia
26,2015/M1/M1_02/03150023.JPG,M1 2015,15.03.15 04:27,night,13,,5,2,4,,Sylvicapra grimmia
27,2015/M1/M1_02/03150024.JPG,M1 2015,15.03.15 04:27,night,13,26,5,2,4,,Sylvicapra grimmia
28,2015/M1/M1_02/03150025.JPG,M1 2015,15.03.15 04:28,night,13,27,5,2,4,,Sylvicapra grimmia
29,2015/M1/M1_02/03150026.JPG,M1 2015,15.03.15 04:28,night,13,28,5,2,4,,Sylvicapra grimmia
30,2015/M1/M1_02/03150027.JPG,M1 2015,15.03.15 13:14,day,14,,5,2,6,,Papio cynocephalus
31,2015/M1/M1_02/03150028.JPG,M1 2015,15.03.15 13:14,day,14,30,5,2,6,,Papio cynocephalus
32,2015/M1/M1_02/03160029.JPG,M1 2015,16.03.15 11:26,day,15,,5,2,,,
33,2015/M1/M1_02/03160030.JPG,M1 2015,16.03.15 11:26,day,15,32,5,2,,,
34,2015/M1/M1_02/03160031.JPG,M1 2015,16.03.15 23:13,night,16,,5,2,3,,n/a
35,2015/M1/M1_02/03160032.JPG,M1 2015,16.03.15 23:13,night,16,34,5,2,3,,n/a
36,2015/M1/M1_02/03180033.JPG,M1 2015,18.03.15 14:32,day,17,,5,2,6,,Papio cynocephalus
37,2015/M1/M1_02/03180034.JPG,M1 2015,18.03.15 14:32,day,17,36,5,2,6,,Papio cynocephalus
38,2015/M1/M1_02/03180035.JPG,M1 2015,18.03.15 14:37,day,17,37,5,2,6,,Papio cynocephalus
39,2015/M1/M1_02/03180036.JPG,M1 2015,18.03.15 14:37,day,17,38,5,2,6,,Papio cynocephalus
40,2015/M1/M1_02/03200037.JPG,M1 2015,20.03.15 10:15,day,18,,5,2,,,
41,2015/M1/M1_02/03200038.JPG,M1 2015,20.03.15 10:15,day,18,40,5,2,,,
42,2015/M1/M1_02/03200039.JPG,M1 2015,20.03.15 19:20,twilight,19,,5,2,3,,n/a
43,2015/M1/M1_02/03200040.JPG,M1 2015,20.03.15 19:20,twilight,19,42,5,2,3,,n/a
44,2015/M1/M1_02/03210041.JPG,M1 2015,21.03.15 19:11,twilight,20,,5,2,7,,Equus q. boehmi
45,2015/M1/M1_02/03210042.JPG,M1 2015,21.03.15 19:11,twilight,20,44,5,2,7,,Equus q. boehmi
46,2015/M1/M1_02/03210043.JPG,M1 2015,21.03.15 19:12,twilight,20,45,5,2,7,,Equus q. boehmi
47,2015/M1/M1_02/03210044.JPG,M1 2015,21.03.15 19:12,twilight,20,46,5,2,7,,Equus q. boehmi
48,2015/M1/M1_02/03210045.JPG,M1 2015,21.03.15 19:13,twilight,20,47,5,2,7,,Equus q. boehmi
49,2015/M1/M1_02/03210046.JPG,M1 2015,21.03.15 19:13,twilight,20,48,5,2,7,,Equus q. boehmi
50,2015/M1/M1_02/03210047.JPG,M1 2015,21.03.15 19:15,twilight,20,49,5,2,,,
51,2015/M1/M1_02/03210048.JPG,M1 2015,21.03.15 19:15,twilight,20,50,5,2,,,
52,2015/M1/M1_02/03210049.JPG,M1 2015,21.03.15 23:22,night,23,,5,2,4,,Sylvicapra grimmia
53,2015/M1/M1_02/03210050.JPG,M1 2015,21.03.15 23:22,night,23,52,5,2,4,,Sylvicapra grimmia
54,2015/M1/M1_02/03210051.JPG,M1 2015,21.03.15 23:24,night,23,53,5,2,4,,Sylvicapra grimmia
55,2015/M1/M1_02/03210052.JPG,M1 2015,21.03.15 23:24,night,23,54,5,2,4,,Sylvicapra grimmia
56,2015/M1/M1_02/03220053.JPG,M1 2015,22.03.15 03:50,night,24,,5,2,3,,n/a
57,2015/M1/M1_02/03220054.JPG,M1 2015,22.03.15 03:50,night,24,56,5,2,3,,n/a
58,2015/M1/M1_02/03220055.JPG,M1 2015,22.03.15 19:38,twilight,25,,5,2,8,,Potamochoerus larvatus
59,2015/M1/M1_02/03220056.JPG,M1 2015,22.03.15 19:38,twilight,25,58,5,2,8,,Potamochoerus larvatus
60,2015/M1/M1_02/03250057.JPG,M1 2015,25.03.15 02:00,night,26,,5,2,4,,Sylvicapra grimmia
61,2015/M1/M1_02/03250058.JPG,M1 2015,25.03.15 02:00,night,26,60,5,2,4,,Sylvicapra grimmia
62,2015/M1/M1_02/03250059.JPG,M1 2015,25.03.15 02:02,night,26,61,5,2,4,,Sylvicapra grimmia
63,2015/M1/M1_02/03250060.JPG,M1 2015,25.03.15 02:02,night,26,62,5,2,4,,Sylvicapra grimmia
64,2015/M1/M1_02/03260061.JPG,M1 2015,26.03.15 10:11,day,27,,5,2,Team,Team,[TEAM]
65,2015/M1/M1_02/03260062.JPG,M1 2015,26.03.15 10:11,day,27,64,5,2,Team,Team,[TEAM]
66,2015/M1/M1_02/03260063.JPG,M1 2015,26.03.15 10:12,day,27,65,5,2,Team,Team,[TEAM]
67,2015/M1/M1_02/03260064.JPG,M1 2015,26.03.15 10:12,day,27,66,5,2,Team,Team,[TEAM]
68,2015/M1/M1_03/CDY_0001.JPG,M1 2015,08.03.15 13:05,day,28,,5,3,Team,Team,[TEAM]
69,2015/M1/M1_03/CDY_0002.JPG,M1 2015,09.03.15 18:30,day,29,,5,3,,,
70,2015/M1/M1_03/CDY_0003.JPG,M1 2015,09.03.15 18:33,day,29,69,5,3,,,
71,2015/M1/M1_03/CDY_0004.JPG,M1 2015,09.03.15 18:42,day,29,70,5,3,,,
72,2015/M1/M1_03/CDY_0005.JPG,M1 2015,09.03.15 18:43,day,29,71,5,3,,,
73,2015/M1/M1_03/CDY_0006.JPG,M1 2015,09.03.15 18:46,day,29,72,5,3,,,
74,2015/M1/M1_03/CDY_0007.JPG,M1 2015,09.03.15 18:47,day,29,73,5,3,,,
75,2015/M1/M1_03/CDY_0008.JPG,M1 2015,09.03.15 18:49,day,29,74,5,3,,,
76,2015/M1/M1_03/CDY_0009.JPG,M1 2015,09.03.15 18:52,day,29,75,5,3,,,
77,2015/M1/M1_03/CDY_0010.JPG,M1 2015,09.03.15 19:09,day,29,76,5,3,,,
78,2015/M1/M1_03/CDY_0011.JPG,M1 2015,09.03.15 19:14,twilight,29,77,5,3,,,
79,2015/M1/M1_03/CDY_0012.JPG,M1 2015,09.03.15 20:10,twilight,30,,5,3,,,
80,2015/M1/M1_03/CDY_0013.JPG,M1 2015,10.03.15 09:42,day,31,,5,3,,,
81,2015/M1/M1_03/CDY_0014.JPG,M1 2015,11.03.15 11:07,day,32,,5,3,,,
82,2015/M1/M1_03/CDY_0015.JPG,M1 2015,11.03.15 13:25,day,33,,5,3,,,
83,2015/M1/M1_03/CDY_0016.JPG,M1 2015,12.03.15 06:26,twilight,34,,5,3,7,,Equus q. boehmi
84,2015/M1/M1_03/CDY_0017.JPG,M1 2015,15.03.15 12:02,day,35,,5,3,7,,Equus q. boehmi
85,2015/M1/M1_03/CDY_0018.JPG,M1 2015,17.03.15 07:19,day,36,,5,3,7,,Equus q. boehmi
86,2015/M1/M1_03/CDY_0019.JPG,M1 2015,17.03.15 20:36,night,37,,5,3,7,,Equus q. boehmi
87,2015/M1/M1_03/CDY_0020.JPG,M1 2015,18.03.15 21:01,night,38,,5,3,9,,Hippotragus equinus
88,2015/M1/M1_03/CDY_0021.JPG,M1 2015,19.03.15 19:29,twilight,39,,5,3,10,,Alcelaphus b. lichtensteinii
89,2015/M1/M1_03/CDY_0022.JPG,M1 2015,25.03.15 06:43,twilight,40,,5,3,4,,Sylvicapra grimmia
90,2015/M1/M1_03/CDY_0023.JPG,M1 2015,26.03.15 07:12,day,41,,5,3,4,,Sylvicapra grimmia
91,2015/M1/M1_03/CDY_0024.JPG,M1 2015,26.03.15 07:14,day,41,90,5,3,4,,Sylvicapra grimmia
92,2015/M1/M1_03/CDY_0025.JPG,M1 2015,26.03.15 07:21,day,41,91,5,3,4,,Sylvicapra grimmia
93,2015/M1/M1_03/CDY_0026.JPG,M1 2015,26.03.15 10:48,day,42,,5,3,Team,Team,[TEAM]
94,2015/M1/M1_04/CDY_0001.JPG,M1 2015,08.03.15 13:42,day,43,,5,4,Team,Team,[TEAM]
95,2015/M1/M1_04/CDY_0002.JPG,M1 2015,26.03.15 11:29,day,44,,5,4,Team,Team,[TEAM]
96,2015/M1/M1_07/CDY_0001.JPG,M1 2015,09.03.15 16:37,day,45,,5,5,Team,Team,[TEAM]
97,2015/M1/M1_07/CDY_0002.JPG,M1 2015,14.03.15 22:14,night,46,,5,5,11,,Syncerus caffer
98,2015/M1/M1_07/CDY_0003.JPG,M1 2015,28.03.15 17:17,day,47,,5,5,Team,Team,[TEAM]
99,2015/M1/M1_07/CDY_0004.JPG,M1 2015,28.03.15 17:19,day,47,98,5,5,Team,Team,[TEAM]
100,2015/M1/M1_08/03080001.JPG,M1 2015,08.03.15 12:04,day,48,,5,6,Team,Team,[TEAM]
101,2015/M1/M1_08/03080002.JPG,M1 2015,08.03.15 12:04,day,48,100,5,6,Team,Team,[TEAM]
102,2015/M1/M1_08/03080003.JPG,M1 2015,08.03.15 12:06,day,48,101,5,6,Team,Team,[TEAM]
103,2015/M1/M1_08/03080004.JPG,M1 2015,08.03.15 12:06,day,48,102,5,6,Team,Team,[TEAM]
104,2015/M1/M1_08/03160005.JPG,M1 2015,16.03.15 20:42,night,49,,5,6,4,,Sylvicapra grimmia
105,2015/M1/M1_08/03160006.JPG,M1 2015,16.03.15 20:42,night,49,104,5,6,4,,Sylvicapra grimmia
106,2015/M1/M1_08/03160007.JPG,M1 2015,16.03.15 22:08,night,50,,5,6,5,,Bdeogale crassicauda
107,2015/M1/M1_08/03160008.JPG,M1 2015,16.03.15 22:08,night,50,106,5,6,5,,Bdeogale crassicauda
108,2015/M1/M1_08/03240009.JPG,M1 2015,24.03.15 11:39,day,51,,5,6,12,,Mungos mungo
109,2015/M1/M1_08/03240010.JPG,M1 2015,24.03.15 11:39,day,51,108,5,6,12,,Mungos mungo
110,2015/M1/M1_08/03260011.JPG,M1 2015,26.03.15 16:18,day,52,,5,6,Team,Team,[TEAM]
111,2015/M1/M1_08/03260012.JPG,M1 2015,26.03.15 16:18,day,52,110,5,6,Team,Team,[TEAM]
112,2015/M1/M1_09/CDY_0001.JPG,M1 2015,07.03.15 10:42,day,53,,5,7,Team,Team,[TEAM]
113,2015/M1/M1_09/CDY_0002.JPG,M1 2015,12.03.15 07:10,day,54,,5,7,7,,Equus q. boehmi
114,2015/M1/M1_09/CDY_0003.JPG,M1 2015,12.03.15 10:29,day,55,,5,7,6,,Papio cynocephalus
115,2015/M1/M1_09/CDY_0004.JPG,M1 2015,14.03.15 19:35,twilight,56,,5,7,4,,Sylvicapra grimmia
116,2015/M1/M1_09/CDY_0005.JPG,M1 2015,24.03.15 03:28,night,57,,5,7,9,,Hippotragus equinus
117,2015/M1/M1_12/CDY_0001.JPG,M1 2015,07.03.15 12:59,day,58,,5,8,Team,Team,[TEAM]
118,2015/M1/M1_12/CDY_0002.JPG,M1 2015,07.03.15 19:45,twilight,59,,5,8,,,
119,2015/M1/M1_16/CDY_0001.JPG,M1 2015,08.03.15 09:57,day,60,,5,9,Team,Team,[TEAM]
120,2015/M1/M1_16/CDY_0002.JPG,M1 2015,10.03.15 08:05,day,61,,5,9,2,,Panthera pardus
121,2015/M1/M1_16/CDY_0003.JPG,M1 2015,10.03.15 20:31,night,62,,5,9,8,,Potamochoerus larvatus
122,2015/M1/M1_16/CDY_0004.JPG,M1 2015,14.03.15 08:55,day,63,,5,9,6,,Papio cynocephalus
123,2015/M1/M1_16/CDY_0005.JPG,M1 2015,17.03.15 06:38,twilight,64,,5,9,13,,Orycteropus afer
124,2015/M1/M1_16/CDY_0006.JPG,M1 2015,17.03.15 09:15,day,65,,5,9,6,,Papio cynocephalus
125,2015/M1/M1_16/CDY_0006'.JPG,M1 2015,17.03.15 09:15,day,65,124,5,9,12,,Mungos mungo
126,2015/M1/M1_16/CDY_0007.JPG,M1 2015,27.03.15 10:57,day,67,,5,9,Team,Team,[TEAM]
127,2015/M1/M1_19/CDY_0001.JPG,M1 2015,09.03.15 15:14,day,68,,5,10,Team,Team,[TEAM]
128,2015/M1/M1_19/CDY_0002.JPG,M1 2015,10.03.15 06:47,twilight,69,,5,10,2,,Panthera pardus
129,2015/M1/M1_19/CDY_0003.JPG,M1 2015,19.03.15 13:48,day,70,,5,10,,,
130,2015/M1/M1_19/CDY_0004.JPG,M1 2015,22.03.15 12:08,day,71,,5,10,,,
131,2015/M1/M1_19/CDY_0005.JPG,M1 2015,24.03.15 18:27,day,72,,5,10,Team,Team,[TEAM]
132,2015/M1/M1_19/CDY_0006.JPG,M1 2015,25.03.15 13:08,day,73,,5,10,Team,Team,[TEAM]
133,2015/M1/M1_20/CDY_0001.JPG,M1 2015,09.03.15 15:38,day,74,,5,11,Team,Team,[TEAM]
134,2015/M1/M1_20/CDY_0002.JPG,M1 2015,11.03.15 11:08,day,75,,5,11,,,
135,2015/M1/M1_20/CDY_0003.JPG,M1 2015,12.03.15 06:41,twilight,76,,5,11,4,,Sylvicapra grimmia
136,2015/M1/M1_21/03050001.JPG,M1 2015,05.03.15 14:34,day,77,,5,12,Team,Team,[TEAM]
137,2015/M1/M1_21/03050002.JPG,M1 2015,05.03.15 14:34,day,77,136,5,12,Team,Team,[TEAM]
138,2015/M1/M1_21/03050003.JPG,M1 2015,06.03.15 10:03,day,78,,5,12,,,
139,2015/M1/M1_21/03050004.JPG,M1 2015,06.03.15 10:03,day,78,138,5,12,,,
140,2015/M1/M1_21/03050005.JPG,M1 2015,06.03.15 10:12,day,78,139,5,12,,,
141,2015/M1/M1_21/03050006.JPG,M1 2015,06.03.15 10:12,day,78,140,5,12,,,
142,2015/M1/M1_21/03050007.JPG,M1 2015,06.03.15 10:16,day,78,141,5,12,,,
143,2015/M1/M1_21/03050008.JPG,M1 2015,06.03.15 10:16,day,78,142,5,12,,,
144,2015/M1/M1_21/03050009.JPG,M1 2015,06.03.15 10:20,day,78,143,5,12,,,
145,2015/M1/M1_21/03050010.JPG,M1 2015,06.03.15 10:20,day,78,144,5,12,,,
146,2015/M1/M1_21/03050011.JPG,M1 2015,06.03.15 10:27,day,78,145,5,12,,,
147,2015/M1/M1_21/03050012.JPG,M1 2015,06.03.15 10:27,day,78,146,5,12,,,
148,2015/M1/M1_21/03050013.JPG,M1 2015,06.03.15 10:28,day,78,147,5,12,,,
149,2015/M1/M1_21/03050014.JPG,M1 2015,06.03.15 10:28,day,78,148,5,12,,,
150,2015/M1/M1_21/03090015.JPG,M1 2015,09.03.15 05:57,twilight,79,,5,12,14,,Tragelaphus scriptus
151,2015/M1/M1_21/03090016.JPG,M1 2015,09.03.15 05:57,twilight,79,150,5,12,14,,Tragelaphus scriptus
152,2015/M1/M1_21/03100017.JPG,M1 2015,10.03.15 11:56,day,80,,5,12,,,
153,2015/M1/M1_21/03100018.JPG,M1 2015,10.03.15 11:56,day,80,152,5,12,,,
154,2015/M1/M1_21/03100019.JPG,M1 2015,10.03.15 12:05,day,80,153,5,12,,,
155,2015/M1/M1_21/03100020.JPG,M1 2015,10.03.15 12:05,day,80,154,5,12,,,
156,2015/M1/M1_21/03100021.JPG,M1 2015,10.03.15 12:32,day,80,155,5,12,,,
157,2015/M1/M1_21/03100022.JPG,M1 2015,10.03.15 12:32,day,80,156,5,12,,,
158,2015/M1/M1_21/03110023.JPG,M1 2015,10.03.15 23:21,night,81,,5,12,15,,Genetta sp.
159,2015/M1/M1_21/03110024.JPG,M1 2015,10.03.15 23:21,night,81,158,5,12,15,,Genetta sp.
160,2015/M1/M1_21/03110025.JPG,M1 2015,11.03.15 02:31,night,82,,5,12,4,,Sylvicapra grimmia
161,2015/M1/M1_21/03110026.JPG,M1 2015,11.03.15 02:31,night,82,160,5,12,4,,Sylvicapra grimmia
162,2015/M1/M1_21/03110027.JPG,M1 2015,11.03.15 03:57,night,83,,5,12,5,,Bdeogale crassicauda
163,2015/M1/M1_21/03110028.JPG,M1 2015,11.03.15 03:57,night,83,162,5,12,5,,Bdeogale crassicauda
